Title,Author,Quantity,Price,Location,Isbn,EditionYear,Publisher,Edition,Cover,Subject,Pages,Language,Display
Cat Haiku,Deborah Coates,1,350,RR7,9.7801E+12,2003,Arrow Books,General,Soft Cover,Cats,122,English,General
The Merriam-Webster thesaurus,"Merriam,Merriam-Webster",1,290,RR7,671530895,1978,Pocket,General,Soft Cover,Reference,634,English,General
The Dell Crossword Dictionary,Kathleen Rafferty,1,225,RR7,44006314150,1960,Dell Publications,General,Soft Cover,Dictionary,,English,General
There is a Cure for Arthritis,Paavo O. Airola,1,350,RR7,139146717,1968,Reward Books,General,Soft Cover,Arthritis,200,English,General
Practical aromatherapy,Shirley Price,1,495,RR7,9.78072E+12,9/24/1987,HarperThorsons,General,Soft Cover,Essences and essential oils,160,English,General
Famous Vegetarians & Their Favorite Recipes,Rynn Berry,1,595,RR7,,1993,Book Faith India,General,Soft Cover,Health & Fitness,,English,General
The Big Book of Killer Su Doku,Mark Huckvale,1,395,RR7,9.78075E+12,2/2/2006,Phoenix,General,Soft Cover,Logic puzzles,320,English,General
How to Pronounce Russian Correctly,"Tania Bobrinskoy,Irina Gsovskaya,Stanley W. Connell",1,695,RR7,084424287x,2000-11,Passport Books,General,Soft Cover,Language Book,64,English,General
"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,1,295,RR7,9.78818E+12,1/1/2009,Random House Limited,General,Soft Cover,Indian cooking,279,English,General
Women and the weight loss tamasha,"Diwekar, Rujuta",1,295,RR7,9.78938E+12,2014-11,Westland,General,Soft Cover,Health & Fitness,374,English,General
Word Power Made Easy,Norman Lewis,2,295,RR7,9.78014E+12,2015,Penguin Books,General,Soft Cover,Vocabulary,560,English,General
Fit for Life,"Harvey Diamond,Marilyn Diamond",1,495,RR7,446300152,2/1/1987,Grand Central Publishing,General,Soft Cover,Health & Fitness,352,English,General
A Field Guide In Colour To Mushrooms,Mirko Svrcek,1,550,RR7,1856054454,1999,Biltz Edition,General,Soft Cover,Health & Fitness,,English,General
Best Food Writing 2015,Holly Hughes,1,495,RR7,9.78074E+12,2015-10,Da Capo Lifelong Books,General,Soft Cover,Cooking,320,English,General
The Milton Head Metabolism Diet,Dr. Peter M. Miller,1,270,RR7,,1984,Warner Books,General,Soft Cover,Health & Fitness,,English,General
Endangered Species,Lawrence Grobel,1,695,RR7,9.78031E+12,2001,,General,Soft Cover,Language Arts & Disciplines,416,English,General
The Cheese Platter,Koren Trygg,1,295,RR7,,1992,Antioch Publishing Company,General,Hard Cover,Health & Fitness,,English,General
Nature's Painkillers,Deborah R. Mitchell,1,375,RR7,312973152,4/15/2000,St. Martin's Paperbacks,General,Soft Cover,Health & Fitness,256,English,General
Food First,"Frances Moore Lappé,Cary Fowler",1,450,RR7,345298187,1979,,General,Soft Cover,History,619,English,General
Dr. Atkins' New Diet Revolution,"Robert C. Atkins, M.D.",1,360,RR7,380727293,12/8/1999,Avon,General,Soft Cover,Health & Fitness,446,English,General
Protein Power,Michael R. Eades,1,360,RR7,553574752,12/1/1997,Bantam,General,Soft Cover,Health & Fitness,429,English,General
Coffee,J. Gill Brockenbrough,1,350,RR7,,1976,Potpourri Press,General,Soft Cover,Health & Fitness,,English,General
Politics The Constitution And The Supreme Court An Introduction To The Study Of Constitutional Law,Loren P. Beth,1,395,RR7,,1962,Harper & Row Publishers,General,Soft Cover,Political Science,,English,General
The Complete Book Of Food Counts,Corinne T. Netzer,1,450,RR7,71009007505,2000,Dell Notification Publications,General,Soft Cover,Food,,English,General
Collins Gem Australian English Dictionary,W. A. Krebs,1,295,RR7,9.78E+12,1993,Collins,General,Soft Cover,English language,632,English,General
Sugar Blues,William Dufty,1,395,RR7,446892882,1975,,General,Soft Cover,"Carbohydrates, Refined",255,English,General
Rig-Veda Repetitions The Repeated Verses And Distichs And Stanzes Of The Rig-Veda In Systematic Presentations And With Critical Discussion,Maurice Bloomfield,1,5000,RR7,,1916,Hardvard University Press,General,Hard Cover,RARE BOOKS,,English,General
Super Charge With Super Foods,Delia quigley,1,595,RR7,9.78144E+12,2010,Adams Media,General,Soft Cover,Health & Fitness,,English,General
The Astrology of the Four Horsemen,Elizabeth Clare Prophet,1,450,RR7,922729069,1991-01,Summit University Press,General,Soft Cover,"Body, Mind & Spirit",619,English,General
Linda Goodman's Star Signs,Linda Goodman,1,250,Rr7,9.78033E+12,1988,Pan,General,Soft Cover,Astrology,528,English,General
Rapidex English Speaking Course (Nepali),V & S Publishers,1,400,RR7,9.78938E+12,2011,V & S Publishers,General,Soft Cover,English language,400,English,General
