Title,Author,Quantity,Price,Location,Isbn,EditionYear,Publisher,Edition,Cover,Subject,Pages,Language,Display
Mysteries of the Unknown Mystic Places,Time-Life Books,1,750,RR3,809463121,1987,Time-Life Books,General,Soft Cover,Curiosities and wonders,,English,General
"The Magic Life of Milarepa, Tibet's Great Yogi",Eva van Dam,1,1295,RR3,877734739,1991,Shambala Publications,General,Hard Cover,Buddhism,78,English,General
Diana The Radiant Princess,Royce Publication,1,2495,RR3,,1983,Royce Publications,General,Hard Cover,Picture Book,,English,General
The Complete Book Of Sensual Massage,Janet Filderman,1,995,RR3,,1993,Coombe Books Limited,General,Hard Cover,Picture Book,,English,General
Mani Rimdu.Nepal The Buddhist Dance Drama Of Tengpoche,Mario Fantin,1,4995,RR3,,1976,The English Book Store,General,Hard Cover,Picture Book,,English,General
Buddhist Book Illuminations,Pratapaditya Pal,1,15000,RR3,,1988,Ravi Kumar Publishers,General,Hard Cover,Picture Book,,English,General
Heart of the Himalaya,David Paterson,1,2995,RR3,952190826,1997,Jaico Publishing House,General,Hard Cover,Himalaya Mountains,140,English,General
The History of Beads,Lois Sherr Dubin,1,1995,RR3,500278512,1995,Thames & Hudson Limited,General,Soft Cover,Beads,136,English,General
Masterpieces Of The Female Form in Indian Art,Rustam J. Mehta,1,3995,RR3,,1972,D. B. taraporevala Sons & Co. Private LTD.,General,Hard Cover,Picture Book,,English,General
"The Lore of Spices Their History, Nature and Uses Around The World",J. O. Swahn,1,3995,RR3,,1999,Senate Publishing Limited,General,Hard Cover,Picture Book,,English,General
Sacred Tibet,Philip S. Rawson,1,975,RR3,050081032X,1991,Thames & Hudson,General,Hard Cover,Religion,96,English,General
The Mountains Life nature Library,Louis J. Milne,1,750,RR3,,1962,Life nature Library Limited,General,Hard Cover,Picture Book,,English,General
Nepal The Himalayan Kingdom,Craig Lovell,2,995,RR3,,1990,Lustre Press PVT.LTD,General,Hard Cover,Picture Book,,English,General
Everest Goddess of The Wind,Ronald Faux,1,3995,RR3,,1978,Chambers Edinburg,General,Hard Cover,Picture Book,,English,General
Nepal,Tilak Shanker,1,1700,RR3,,2001,IBH Limited,General,Hard Cover,Picture Book,,English,General
AJourney To The Heavens (Mansarovar & Mount Kailash),Anju Poddar,2,1295,RR3,,2001,Samey Publication & Co.,General,Soft Cover,Picture Book,,English,General
Beyond the Himalayas,"H. P. S. Ahluwalia,Hormazd Sorabjee",2,1950,RR3,8186850031,1999,A Kamlesh Shah Publication,General,Hard Cover,History,97,English,General
The Art Of The North-East Frontier Of India,Verrier Elwin,2,6995,RR3,,1988,Directorate Of The Research Limited,General,Hard Cover,Picture Book,,English,General
To The Light A Journey Through Buddhist Asia,Sharon Collins,1,1995,RR3,,2003,W. W. Norton & Company,General,Hard Cover,Picture Book,,English,General
Asokan Inscriptions,Radhagovinda Basak,1,7500,RR3,,1959,Calcutta Progressive Publishers,General,Hard Cover,Picture Book,,English,General
The Himalayas The World's Wild Places/Time-Life Books/Amsterdam,Nigel Nicolson,1,2500,RR3,,1975,Time Line Books Limited,General,Hard Cover,Picture Book,,English,General
The Greek Stones Speak,Paul Lachlan MacKendrick,1,695,RR3,393301117,1981,W. W. Norton & Company,General,Soft Cover,History,534,English,General
"Tibet The Roof f The World- Tibet flowers, People & Things",Chul Am Park,1,6000,RR3,,1998,Chul Am Park Limited,General,Hard Cover,Picture Book,,English,General
Bhutan Kingdom Of The Dragon,Robert Dompnier,1,1950,RR3,9628711024,2000-03,Timeless Book Limited,General,Hard Cover,Bhutan,177,English,General
"Nalini Malani. Catalogo Della Mostra (Dublino, 11 Luglio-14 Ottobre 2007). Ediz. Inglese","Sean Kissane,Johan Pijnappel",1,3995,RR3,8881586444,2007,Charta limited,General,Hard Cover,Art,141,English,General
Grand Canyon Country,"Seymour L. Fishbein,National Geographic Society",1,995,RR3,792270320,4/1/1997,National Geographic,General,Soft Cover,Travel,200,English,General
"Normand's Parallel of The Orders of Architecture Greek, Roman and Renaissance",R.A. Cordingley,1,3495,RR3,,1959,"Alec Tiranti LTD,",General,Hard Cover,Picture Book,,English,General
Exploring The Earth,National Geographic,1,1500,RR3,,1988,National Geographic,General,Soft Cover,Picture Book,,English,General
India Turning Fifty,National Geographic,1,395,RR3,,1997,National Geographic,General,Soft Cover,Picture Book,,English,General
The New Science of the Brain,National Geographic,1,395,RR3,,2014,National Geographic,General,Soft Cover,Picture Book,,English,General
Caravans of the Himalaya,"Eric Valli,Diane Summers",1,7995,RR3,500016585,1995,Thames & Hudson Limited,General,Hard Cover,RARE BOOKS,239,English,General
Nepal Architecture,N.R. Banerjee,1,3995,RR3,,1980,Agan Kala Prakashan,General,Hard Cover,RARE BOOKS,,English,General
Saffronart Modern & Contemporary Indian Art,Autumn Online Auction,1,995,RR3,,2010,Autumn Online Auction,General,Soft Cover,Art,,English,General
Hathayoga,Walter Ames Campton,1,2995,RR3,,1974,Harper & Row publishers,General,Soft Cover,RARE BOOKS,,English,General
Nepal,Toni Hagen,1,9995,RR3,,1960,Oxford & IBH Publishing,General,Hard Cover,RARE BOOKS,,English,General
NEPAL An Introduction to Nepalese Culturre,Sahayogi Press,1,1650,RR3,,1975,Sahayogi Press,General,Soft Cover,RARE BOOKS,,English,General
The birds of Sikkim,Salim Ali,1,3995,RR2,195623347,1989,Oxford Unversity Press,General,Hard Cover,RARE BOOKS,414,English,General
Santa maria My Crusade For Portugal,Henrique Galvao,1,1995,RR2,,1961,The World Publishing Company,General,Hard Cover,RARE BOOKS,,English,General
Guide to Field Identification of the North America,"Chandler S. Robbins,Bertel Bruun,Herbert Spencer Zim",1,750,RR2,307136566,1966,Golden Books,General,Soft Cover,Nature,340,English,General
Great Short Story Of The World,William Heinemann,1,3995,RR2,,1926,William Heinemann LTD,General,Hard Cover,RARE BOOKS,,English,General
Irish Historical Documents,Edmund Curtis,1,2500,RR2,,1943,Methuen & Co. LTD.,General,Hard Cover,RARE BOOKS,,English,General
The Families Of Flowering Plants I. Dicotyledons Arranged According To a New System Based On Their Probable Phylogeny,J. Hutchinson,1,2500,RR2,,1926,"Macmillan and Co., Limited",General,Hard Cover,RARE BOOKS,,English,General
The Natyasastra Ascribed To Bharata-Muni Vol.2 the Original sanskrit Text,Manomohan Ghosh,1,950,RR2,,1956,The Asiatic Society,General,Soft Cover,RARE BOOKS,,English,General
The Secret Doctrine Vol 1 & 2 A Facsimile of The Original Edition Of 1888,Blavatsky,1,9750,RR2,,1947,theosophy Co.,General,Hard Cover,RARE BOOKS,,English,General
Grammaire Arabe,Le P. Donat Vernier S. J.,1,10000,RR2,,1891,Beyrouth Imprimerie Catholique,General,Hard Cover,RARE BOOKS,,English,General
The Scared Books Of The East The Laws Of Manu Vol XXV,F. Max Muller,1,2995,RR2,,1964,Motilal Banarsidass,General,Hard Cover,RARE BOOKS,,English,General
Sancti Irenaei,W.W. Harvey,1,9500,RR2,,1857,Typics Academy Publishers,General,Hard Cover,RARE BOOKS,,English,General
The Forerunners,Romain Rolland,1,3995,RR2,,1920,George Allen & Unwin LTD,General,Hard Cover,RARE BOOKS,,English,General
Fierce and Gebtle Warriors Three Sorie By MIKHAIL SHOLOKHOV,Mikhail Sholokhov,1,950,RR2,,1967,Doubleday & Company,General,Hard Cover,RARE BOOKS,,English,General
The Complete War Memoirs Of Chales Volume 1 The Call To Honour Volume 2 Unity Volume 3 Salvation,De Gaulle,1,1250,RR2,,1967,Simon & Schuster,General,Soft Cover,RARE BOOKS,,English,General
Romance & Legend Of Chivalry,A.R.Hope - Moncrieff,1,3500,RR2,,1913,The Gresham Publishing Company,General,Hard Cover,RARE BOOKS,,English,General
The Abbot,"Sir Walter Scoot, Bart.",1,3500,RR2,,1898,Adam & Charles Black LTD.,General,Hard Cover,RARE BOOKS,,English,General
Rebecca,Daphne Du Maurier,1,2995,RR2,,1940,"Garden City Publishing Co., INC.",General,Hard Cover,RARE BOOKS,,English,General
"Thirty Five Years In The East  Adventures, Discovers, Experiments And Historical Sketches",John Martin Honingberger,1,20000,RR2,,1852,London,General,Hard Cover,RARE BOOKS,,English,General
Floriculture in India,"Gurcharan Singh Randhawa,Amitabha Mukhopadhyay",1,8000,RR2,8170230578,1/1/1986,Allied Publishers,General,Hard Cover,Floriculture,660,English,General
Beautiful Roses Made Easy Southwestern Edition,Jackson & Perkins,1,1250,RR2,,2004,Cool Spring Press,General,Soft Cover,RARE BOOKS,,English,General
Dadabhai Naoroji: The Grand Old Man Of India,R. P. Masani,1,3295,RR2,,1939,George Allen & Unwin LTD,General,Hard Cover,RARE BOOKS,,English,General
Parliament of Religions,Swami Vivekananda,1,1965,RR2,,1964,Swami Vivekananda Centenary,General,Hard Cover,RARE BOOKS,,English,General
"The Age Of Louis XIV A History of European Civilization in the Period of Pascal, Moliere, Cromwell, Milton, peter the Great, Newton, and Spinaoza:",Will & Ariel Durant,1,5995,RR2,,1963,Simon & Schuster Limited,General,Soft Cover,RARE BOOKS,,English,General
The Military Despatches of a Seventtenth Century Indian General,Jagadish Narayan Sarkar,1,1895,RR2,,1969,Scientific Book Agency,General,Hard Cover,RARE BOOKS,,English,General
Thirty Famous One-Act Plays,Bennett Cerf and Van H. Cartmell,1,1950,RR2,,1943,The Modern Library,General,Hard Cover,RARE BOOKS,,English,General
Winter In Majorca,George Sand,1,1995,RR2,,1956,Valldemosa Edition Mallorca,General,Soft Cover,RARE BOOKS,,English,General
Gift From The Sea,Anne Morrow Lindbergh,1,1395,RR2,,1955,Pantheon Books,General,Hard Cover,RARE BOOKS,,English,General
A Peep Into Nepal,Huta Ram Baidya,1,1995,RR2,,1970,HMG Press Limited,General,Soft Cover,RARE BOOKS,,English,General
Swami Satyananda And Cultural Relations Between Inadia and Malaya,V. G. Nair,1,1500,RR2,,1960,Pure Life Society,General,Soft Cover,RARE BOOKS,,English,General
Asoka The Buddhist Emperor Of India,Vincent A. Smith,1,5000,RR2,,1957,S. Chand & Co.,General,Soft Cover,RARE BOOKS,,English,General
The Seven Storey Mountain,Thomas Merton,1,3500,RR2,,1948,"Harcourt , Brace and Company",General,Hard Cover,RARE BOOKS,,English,General
Complete Guide to Home Gardening,"M. James, F.R.H.S.",1,5000,RR2,,1923,The Waverley Book CO. LTD.,General,Hard Cover,RARE BOOKS,,English,General
The Greek Way,Edith Hamilton,1,3250,RR2,,1942,W. W. Norton & Company > INC.,General,Hard Cover,RARE BOOKS,,English,General
Phoenix 2,D. H. Lawrence,1,3950,RR2,,1968,Heinemann Limited,General,Hard Cover,RARE BOOKS,,English,General
Ten Days That Shook The World,John Freed,1,1500,RR2,,1974,Penguin Books,General,Hard Cover,RARE BOOKS,,English,General
The Collected Edition W. Somerset Maugham Of Human Boundage,W. Somerset Maugham,1,4995,RR2,,1951,William Heinemann LTD,General,Hard Cover,RARE BOOKS,,English,General
Religio Medici Letter To A Friend &c. And Christian Morals,Sir Thomas Browne's,1,1250,RR2,,1950,"Macmilliam And CO., Limited",General,Hard Cover,RARE BOOKS,,English,General
Rubaiyat of Omar Khayyam,Edward Fitzgerald,1,3995,RR2,,1944,Calcutta Book Limited,General,Hard Cover,RARE BOOKS,,English,General
The World Is Flat A Brief History Of the Twenty-First Century,Thomas L. Friedman,1,1350,RR2,,2005,"Farrar, Straus & Giroux",General,Hard Cover,RARE BOOKS,,English,General
Mr. Punch's Theatricals With 263 Illustrations & Frontispiece in colours Volume 9,The Educational Book Company Limited,1,3750,RR2,,1935,The Educational Book Company Limited,General,Hard Cover,RARE BOOKS,,English,General
A Short History of English Literature,Emile Legouis,1,8000,RR2,,1935,Oxford At The Clarendon Press,General,Hard Cover,RARE BOOKS,,English,General
Comrades In Arms A War Book For India,Travers John,1,2500,RR2,,1918,Oxford U. P. Bombay,General,Hard Cover,RARE BOOKS,,English,General
"The History of Civilization, From The Fall Of The Roman Empire To The French Revolution. Vol 2",F. Guizot.,1,7250,RR2,,1898,George Bell & sons Limited,General,Hard Cover,RARE BOOKS,,English,General
"The Homoeopathic Treatment of Syphilis, Gonorrhoea Spermatorrhoea And urinary Diseases",J. PH. Barjeau,1,2500,RR2,,1935,Philadelphia Boericke Tafal Limited,General,Hard Cover,RARE BOOKS,,English,General
Pastels,Paul Bourget,1,3600,RR2,,1892,Paris Societe Des Beaux Arts,General,Hard Cover,RARE BOOKS,,English,General
Talking straight,"Lee A. Iacocca,Sonny Kleinfield",1,1150,RR2,553052705,6/1/1988,Bantam Books,General,Hard Cover,Biography & Autobiography,324,English,General
The War In Korea,Matthew B. Ridgway,1,3995,RR2,,1967,Mathew B. Ridgway Limited.,General,Hard Cover,RARE BOOKS,,English,General
A History of Greece to 322 B. C.,N. G. L. Hammond,1,2700,RR2,,1967,Oxford At The Clarendon Press,General,Hard Cover,RARE BOOKS,,English,General
A Grammer Of The Kui Language,Rev. W. W. Winfield,1,9500,RR2,,1928,Asiatic Society of Bengal,General,Hard Cover,RARE BOOKS,,English,General
The World's Great Classics Vol.2,Library Committee,1,4995,RR2,,1900,The Colonial Press,General,Hard Cover,RARE BOOKS,,English,General
The Basic Writings Of Bertrand Russell,Robert E. Egner & Lester E. Denonn,1,2500,RR2,,1961,George Allen & Unwin LTD,General,Hard Cover,RARE BOOKS,,English,General
"The Kaiser and His Court The Diaries, Note Books And Letters Of admiral Georg Alexander Von Muller chief Of The Naval Cabinet , 1941-1918",Walter Gorlitz,1,2500,RR2,,1961,Macdonald London Limited,General,Soft Cover,RARE BOOKS,,English,General
Buddhist America,Don Morreale,1,750,RR2,091252894X,1988,Avalon Travel Publishing,General,Soft Cover,Travel,349,English,General
HINDU CIVILIZATION (From the earliest times up to the establishment of the Maurya Empire,Blackie & Son Limited,1,5995,RR2,,1936,Bharatiya Vidya Bhavan,General,Hard Cover,RARE BOOKS,,English,General
"tales of Loves, sex and Danger",Sudhir Kakar and john M. Ross,1,995,RR2,,1986,Oxford University Press,General,Hard Cover,RARE BOOKS,,English,General
"NAPOLEON""S Conquest Of Prussia-1806 with an Introduction by Field marshal Ear Roberts.k.G.V.C",F. Loraine Petre,1,20000,RR2,,1920,John lane Company Limited,General,Hard Cover,RARE BOOKS,,English,General
Joseph and His Brothers,Thomas Mann,1,3995,RR2,436272342,1/1/1956,Harvill Secker,General,Hard Cover,Fiction in English,1207,English,General
The Worlds Great Classiss,Timothy Dwight,1,3500,RR2,,1900,The Colonial Press,General,Hard Cover,RARE BOOKS,,English,General
The International Book of Wines,John Paterson,1,2500,RR2,600313344,1975,The Hamlyn Publishing Group Limited,General,Hard Cover,Alcoholic beverages,176,English,General
Plants of Darjelling and The Sikkim Himalayas,Dr. Kalipada Biswas,1,3500,RR2,,1966,West Bengal Government Press,General,Hard Cover,RARE BOOKS,,English,General
Princess,Jean Sasson,1,595,RR2,9.78086E+12,2015,Random House,General,Soft Cover,Princesses,288,English,General
The Autobiography of Benjamin Franklin,Blackie & Son Limited,1,1995,RR2,,1916,Blackie & Son Limited,General,Hard Cover,RARE BOOKS,,English,General
Major-General Walter Dornberger,James Cleugh & Geoffrey Halliday,1,9995,RR2,,1944,The Scientific Book House,General,Hard Cover,RARE BOOKS,,English,General
Sisterhood is Powerful An Anthology of Writings From The Women's Liberation Movement,Robin Morgan,1,3500,RR2,394452402,1970,Random House Limited,General,Hard Cover,RARE BOOKS,,English,General
The Short Stories Of Henry James,Clifton Fadiman,1,3500,RR2,,1945,The Modern Library,General,Hard Cover,RARE BOOKS,,English,General
"ROUSSEAU AND REVOLUTION A History of Civilization in France, England,and Germany from 1756,and in the remainder of Europe from 1715, to 1789",Will & Ariel Durant,1,4995,RR2,,1967,Simon & Schuster Limited,General,Soft Cover,RARE BOOKS,,English,General
Reflections On The Revolutions In France,Edmund Burke,1,1495,RR2,,1960,London J.M. Dent & Sons,General,Hard Cover,RARE BOOKS,,English,General
Reflections On The Revolutions In France,Edmund Burke,1,1495,RR2,,1960,London J.M. Dent & Sons,General,Hard Cover,RARE BOOKS,,English,General
"Plutarch's Lives, Translated from The Oiginal Greek; with Notes Critical and Historical, and a Life of Plutarch Vol 3",John Langhorne,1,2995,RR2,,1813,London Pvt. Ltd.,General,Hard Cover,RARE BOOKS,,English,General
"Plutarch's Lives, Translated from The Oiginal Greek; with Notes Critical and Historical, and a Life of Plutarch Vol 4",John Langhorne,1,2995,RR2,,1813,London Pvt. Ltd.,General,Hard Cover,RARE BOOKS,,English,General
A Study Of History Vol 2,A. J. Toynee,1,2995,RR2,,1974,Dell Publishing Co. Inc,General,Hard Cover,RARE BOOKS,,English,General
Les Miserables Vol 1 to 5,Victor Hugo,1,20000,RR2,,1896,George Routledge & Sons Limited,General,Hard Cover,RARE BOOKS,,English,General
"Plutarch's Lives, Translated from The Oiginal Greek; with Notes Critical and Historical, and a Life of Plutarch Vol 6",John Langhorne,1,2995,RR2,,1813,London Pvt. Ltd.,General,Hard Cover,RARE BOOKS,,English,General
Faborite Authors A Companion Book of Prose & Poetry,Ticknor & Fields,1,30000,RR2,,1861,Univercity Press  Limited,General,Hard Cover,RARE BOOKS,,English,General
Savitri (Followed by the Author's Letters on the Poem),Sri Aurobindo,1,100000,RR2,100030440,1954,Sri Aurobindo Ashram,General,Hard Cover,RARE BOOKS,,English,General
The World's Great Thinkers Man and Man: The Social Philosophers,Saxe Commins & Robert N. Linscott,1,4995,RR2,,1947,Random House Limited,General,Hard Cover,RARE BOOKS,,English,General
Scared Writings Judaism The Tanakh,Jaroslav Pelikan,1,2995,RR2,,1985,Quality PaperBack Book Club,General,Soft Cover,RARE BOOKS,,English,General
A Study Of History Vol 1,A. J. Toynee,1,2995,RR2,,1974,Dell Publishing Co. Inc,General,Hard Cover,RARE BOOKS,,English,General
"Plutarch's Lives, Translated from The Oiginal Greek; with Notes Critical and Historical, and a Life of Plutarch Vol 1",John Langhorne,1,2995,RR2,,1813,London Pvt. Ltd.,General,Hard Cover,RARE BOOKS,,English,General
Proud Destiny A Novel,Lion Feuchtwanger,1,3600,RR2,,1947,The Viking Press,General,Hard Cover,RARE BOOKS,,English,General
An Epitome of The Homoeopathic Domestic Medicine,J. Laurie . MD.,1,395,RR2,,1920,"London Homoeopathic Co., LTD>",General,Hard Cover,RARE BOOKS,,English,General
Some Unpublished Letters of Helena Petrovna Blavatsky,Eugene Rollin Corson,1,3995,RR2,,1929,"Rider & CO.,",General,Hard Cover,RARE BOOKS,,English,General
Tibet In Revolt,George N. Patterson,1,4995,RR2,,1960,Faber & Faber Limited,General,Hard Cover,Tibet,,English,General
Buddism,Richard A. Gard,1,2300,RR2,,1961,Prentice-Hall International,General,Hard Cover,Tibet,,English,General
The Creed Of Buddha,Edmond Holmes,1,670,RR2,,1957,The Bodley Head,General,Hard Cover,Tibet,,English,General
Discover The Monuments Of Bangladesh A GUide to their History Loacation & Development,Dr. Nazimuddin Ahmed,1,1495,RR2,,1984,The University Press Limited,General,Soft Cover,Tibet,,English,General
The People Of Tibet,Sir Charles Bell,1,3995,RR2,,1928,OXFORD UNIVERSITY PRESS,General,Hard Cover,Tibet,,English,General
Report from Lhasa,Dor Bahadur Bista,1,999,RR2,,1979,Sajha Prakasan,General,Soft Cover,Tibet,,English,General
The Timely Rain Treavels in new Tibet,Stuart and Roma Gelder,1,4200,RR2,,1964,Hutchinson of London,General,Hard Cover,Tibet,,English,General
The Presence of Tibet,Lois Lang-Sims,1,3995,RR2,,1963,The Cresset Press,General,Hard Cover,Tibet,,English,General
Picturesque Nepal,"Amatya, J. M. Singh",1,995,RR2,,1970,Ratna Pustak Bhandar,General,Hard Cover,Tibet,,English,General
A goddess in the stones,Norman Lewis,1,1995,RR2,224027778,1991,Vintage,General,Hard Cover,Travel,322,English,General
China - Tibet - Assam,F. M. Bailey,1,8995,RR2,,1945,JONATHAN CAPE THIRTY BEDFORD SQUARE LONDON,General,Hard Cover,Tibet,,English,General
The Wisdom Of India,Lin Yutang,1,7995,RR2,,1942,Carlton House Limited,General,Hard Cover,Tibet,,English,General
Tibetan Frontiesr Families Reflections Of Three Generations From D'ing-ri,Barbara Nimri Aziz,1,4995,RR2,70690544,1978,Vikas Publishing House PVT LTD,General,Hard Cover,Tibet (China),,English,General
Tibet Today & Yesterday,Tieh-Tseng Li,1,7500,RR2,,1960,Bookman Associates,General,Hard Cover,Tibet,,English,General
Flight of the Wind Horse,Niema Ash,1,1500,RR2,712635998,1990-01,Vintage,General,Hard Cover,Tibet (China),208,English,General
Mystic Tibet and The Himalaya,Kamalesh Bhanja,1,5995,RR2,,1948,Oxford Book & University,General,Hard Cover,Tibet,,English,General
Setting the East Ablaze,Peter Hopkirk,1,2495,RR2,393019438,1985,W W Norton & Company Incorporated,General,Hard Cover,History,252,English,General
Tibetan Studies,Sarat Chandra Das,1,2495,RR2,,1984,K P Bagghi & Company,General,Hard Cover,Tibet,,English,General
Daughter  Of Tibet,Rinchen Dolma Taring,1,2500,RR2,,1970,"THE CAMELOTT PRESS LTD.,",General,Soft Cover,Tibet,,English,General
Narrative Of The Mission Of Mr George,George Bogle,1,20000,RR2,,1881,Cambridge University Press,General,Hard Cover,Tibet,,English,General
Tragic Destiny,Geroge N. Patterson,1,2995,RR2,,1959,Faber & Faber Limited,General,Hard Cover,Tibet,,English,General
A Pali Reader With Notes and Glossary,"Dines Andersen, Ph.D",1,20000,RR2,,1917,London Luzac & CO.,General,Hard Cover,Tibet,,English,General
The Silent War In Tibet,"Lowell Thomas, Jr.",1,9995,RR2,,1960,Secker & Warburg Limited,General,Hard Cover,Tibet,,English,General
Tibet Is My Country,Norbu & harrer,1,3500,RR2,,1960,Rupert Hart-Davis Limited,General,Hard Cover,Tibet,,English,General
Land Of Lamas Adventuresin Secret Tibet,Peter Goullart,1,4995,RR2,,1959,"E. P. Dutton & CO., INC.",General,Hard Cover,Tibet,,English,General
Geology Of Nepal,Chandra K. Sharma,1,3450,RR2,,1973,Navana Printings Works Private Limited,General,Hard Cover,RARE BOOKS,,English,General
Butterflies of Nepal (Central Himalaya),Colin Smith,1,3995,RR2,9748684938,1989,Tecpress Service L.P.,General,Hard Cover,Nature,352,English,General
Nepali,Michael J. Hutt,1,995,RR2,728601389,1988,South Asia Books,General,Soft Cover,Foreign Language Study,252,English,General
Politics In Nepal a Study Of Post-Rana Political Development And Party Politics,Anirudha Gupta,1,3995,RR2,,1964,Allied Publishers Private LTD.,General,Hard Cover,RARE BOOKS,,English,General
Himalaya Mountains Of Destiny,Walter Leifer,1,6295,RR2,,1962,Gallery Press LTD.,General,Hard Cover,RARE BOOKS,,English,General
"India, Pakistan, Nepal and Bangladesh (India as a facton in the Intra-Regional Interaction in South Asia)",P. K. Mishra,1,1995,RR2,,1979,Sundeep Prakashan,General,Hard Cover,RARE BOOKS,,English,General
Nepal Under Amsuvarma,Shankar Lal Joshi,1,2995,RR2,8170417139,1/1/1993,Anmol Publications PVT. LTD.,General,Hard Cover,Nepal,244,English,General
Modernization In Nepal,"Bhadra Ratha Bajracharya,Sita Ram Sharma,Shiri Ram Bakshi",1,795,RR2,8170418410,1/1/1993,Anmol Publications PVT. LTD.,General,Hard Cover,Democracy,220,English,General
The Colour of Magic,Terry Pratchett,1,4000,RR2,1856953645,1/1/1994,Isis Large Print Books,General,Soft Cover,Fiction,268,English,General
The Living Thoughts Of Gotama The Buddha,Alfred O. Mendel,1,4000,RR2,,1948,"Cassell And Company, LTD",General,Hard Cover,RARE BOOKS,,English,General
The Adventures of Tom Sawyer,Mark twain,1,6000,RR2,,1935,Chatto & Windus Limited,General,Hard Cover,RARE BOOKS,,English,General
Road to Kathmandu,Patrick Marnham,1,7995,RR2,333111974,1972,Macmillian Limited,Rare,Hard Cover,Nepal,160,English,General
Foreign Aid and Politics in NEPAL A Case Study,Eugene Bramer Mihaly,1,3795,RR2,,1965,OXFORD UNIVERSITY PRESS,General,Hard Cover,RARE BOOKS,,English,General
Video Night In Kathmandu And Other Reports From The Not-So-Far East,Pico Iyer,2,2475,RR2,,1988,Bloomsbury Limited,General,Hard Cover,RARE BOOKS,,English,General
Buddha Gaya Temple Its History,Dipak K. Barua,1,1995,RR2,,1981,Buddha Gaya temple management Committee,General,Hard Cover,RARE BOOKS,,English,General
"The History of a Himalayan Princely State Change, Conflicts and Awakening",Atul Saklani,1,1650,RR2,,1987,Durga Publications,General,Hard Cover,RARE BOOKS,,English,General
An Introduction to the Mountain Kingdom NEPAL,Man Mohan Sharma,1,2599,RR2,8185384185,1995,Dattatreya Prakashan,General,Hard Cover,RARE BOOKS,,English,General
Administration and Politics in a Nepalese Town,Lionel Caplan,1,1995,RR2,197135854,1975,"Oxford University Press, USA",General,Hard Cover,Community development,266,English,General
A Concise Dictionary Newar - English,S.Iswaranand,1,995,RR2,,1995,Pilgrims Book House,General,Hard Cover,RARE BOOKS,,English,General
Harnessing the Eastern Himalayan Rivers,"B. G. Verghese,Ramaswamy R. Iyer",1,1995,RR2,8122003133,1993,South Asia Books,General,Hard Cover,Regional planning,286,English,General
A Journey of Literary and Archaeological Research in Nepal and Northern India During the Winter of 1884-85,Cecil Bendall,2,2995,RR2,8120606159,1991,Asian Educational Services,General,Hard Cover,Architecture,100,English,General
HE Gurkhas The Inside Story Of The World's Most Feared Soldiers,John Parker,1,4395,RR2,9.78073E+12,2010,Bounty Books,General,Hard Cover,RARE BOOKS,,English,General
Monuments of northern Nepal,Corneille Jest,1,1995,RR2,9231018744,1981,,General,Soft Cover,History,121,English,General
Some Provisions Relating To Mountain Tourism In Nepal,His Majesty's Government,1,995,RR2,,1996,Ministry Of Tourism & Civil Aviation,General,Soft Cover,RARE BOOKS,,English,General
Nepalese Inscriptions In Pre-Newari Eras  -An annotated Bibliography,Alakanda Bhattacharyya,1,995,RR2,,1994,Atisha Memorial Publishing Society,General,Hard Cover,RARE BOOKS,,English,General
The Sanskrit Buddhist Literature Of Nepal,Rajendralal Mitra,1,1520,RR2,,1971,Sanskrit Pustak Bhandar,General,Hard Cover,RARE BOOKS,,English,General
Whither Nepal,D. R. Regmi,1,10000,RR2,,1952,Prem Printing Press,General,Hard Cover,RARE BOOKS,,English,General
Medicinal plants Of Nepal,Department Of Medicinal Plants,1,2995,RR2,,1970,Department Of Medicinal Plants,General,Hard Cover,RARE BOOKS,,English,General
Concise Flowers Of The Himalaya,Oleg Polunin and Adam Stainton,1,9995,RR2,,1990,OXFORD UNIVERSITY PRESS,General,Hard Cover,RARE BOOKS,,English,General
A Catalogue On Nepal,Manik lal Bajracharya,1,4995,RR2,,1973,"The Eastern trading And Investment CO.,",General,Hard Cover,RARE BOOKS,,English,General
"The Gurkhas Their Manners, Customs And Country",W. Brook Northey And C. J. Morris,1,2995,RR1,,1987,Cosmo Publications,General,Hard Cover,RARE BOOKS,,English,General
A Vocabulary Of The Limbu Language Of Eastern Nepal,H. W. R. Senior,1,3995,RR2,,Ratna Pustak Bhandar,,General,Hard Cover,RARE BOOKS,,English,General
Education In Nepal Report Of The Nepal National Education Planning Commission,Members Of Commission,1,4995,RR1,,1956,The Bureau Of Publications College Of Educations,General,Hard Cover,RARE BOOKS,,English,General
Nepal: Tharu  and Tarai Neighbours Bibliotheca Himalayica,H. K. Kuloy,1,1495,RR1,,1999,Educational Enterprises,General,Hard Cover,RARE BOOKS,,English,General
The Sherpas Of Nepal In The Tibetan Cultural Context,Robert A. Paul,1,3495,RR1,8120805690,1989,Motilal Banarsidass Publishers Private Limited,General,Hard Cover,RARE BOOKS,,English,General
His Majesty King Mahendra Bir Bikram Shaha Deva An Analytical Biography,Y. G. Krishnamurti,1,9995,RR1,,1963,The Nityananda Society Bombay,General,Hard Cover,RARE BOOKS,,English,General
A Pilgrimage To The Nagas,Milada Ganguli,1,2495,RR1,,1984,Oxford & IBH Publishing Co.,General,Hard Cover,RARE BOOKS,,English,General
